# Curated Greek/Latin naming morphemes (Phase 141, roadmap phase 3).
# Columns: form <TAB> origin(G|L) <TAB> gloss <TAB> comma-separated tags
# Glosses/tags are plain English so brief keywords (and their semantic-field
# neighbors) can select morphemes by meaning. Forms are the combining forms
# naming agencies actually use. Curated from the public Wikipedia "List of
# Greek and Latin roots in English" (CC BY-SA) plus standard naming practice.
lum	L	light	light,bright,clarity,glow,illuminate,shine
luc	L	light	light,clear,bright,vision,shine
photo	G	light	light,image,photo,bright
clar	L	clear	clear,clarity,bright,pure,vision
phos	G	light	light,glow,bright
aqua	L	water	water,liquid,sea,fluid,ocean,flow
hydro	G	water	water,fluid,flow,liquid
mari	L	sea	sea,ocean,water,marine
nauti	G	sea	sea,ship,sail,navigate,ocean
flu	L	flow	flow,fluid,stream,river,current
rheo	G	flow	flow,stream,current,fluid
terra	L	earth	earth,land,ground,soil
geo	G	earth	earth,land,ground,globe,map
aero	G	air	air,sky,wind,flight
anemo	G	wind	wind,air,breeze
pyro	G	fire	fire,heat,flame,burn,spark
ferv	L	heat	heat,warm,glow,boil,passion
igni	L	fire	fire,flame,spark,ignite
astro	G	star	star,space,cosmos,sky
stella	L	star	star,sky,space,shine
sol	L	sun	sun,light,day,bright
helio	G	sun	sun,light,solar
luna	L	moon	moon,night,cycle
cosmo	G	universe	universe,space,cosmos,order,world
orbi	L	circle	circle,orbit,ring,cycle,round
cycl	G	circle	circle,cycle,ring,wheel,loop
nova	L	new	new,star,fresh,bright
neo	G	new	new,fresh,modern,young
prima	L	first	first,prime,lead,primary
proto	G	first	first,origin,prototype,primary
arch	G	chief	chief,first,rule,origin,master
bio	G	life	life,living,organic,vital
vita	L	life	life,vital,energy,living
anima	L	spirit	spirit,soul,life,breath,mind
psyche	G	mind	mind,soul,spirit,psyche
cogni	L	know	know,knowledge,learn,mind,aware
gnos	G	know	know,knowledge,insight,wisdom
soph	G	wisdom	wisdom,smart,knowledge,clever
sci	L	know	know,science,knowledge,learn
mne	G	memory	memory,remember,recall,mind
verb	L	word	word,language,speak,text
lex	G	word	word,language,dictionary,speech
logos	G	word	word,reason,logic,speech,study
lingu	L	tongue	language,tongue,speech,word
son	L	sound	sound,audio,noise,tone,voice
phon	G	sound	sound,voice,audio,tone,speech
audi	L	hear	hear,sound,listen,audio
vid	L	see	see,vision,view,sight,watch
vis	L	see	see,vision,view,sight,display
scop	G	watch	watch,see,view,scope,observe
opt	G	sight	sight,vision,eye,see,optical
spec	L	look	look,see,view,inspect,watch
tact	L	touch	touch,feel,contact,tactile
mov	L	move	move,motion,shift,go
mot	L	move	move,motion,drive,shift
dyna	G	power	power,energy,force,strong,dynamic
kine	G	motion	motion,move,kinetic,energy
vel	L	speed	speed,fast,swift,quick
