# Draft submorpheme inventory (build_submorph_inventory). Curate into core/data/submorph.tsv.
# fragment	position	class	canon_weight	associations	gloss
ai	H	meaning	0.00	airy:0.67	airy
ain	T	meaning	0.00	moraine:0.69	moraine
aine	T	meaning	0.00	moraine:0.69	moraine
air	B	meaning	0.00	air:1.00	air
al	B	meaning	0.00	all:0.90,alpine:0.70,loyal:0.69,royal:0.69,dial:0.69,altitude:0.54	all · alpine
all	B	meaning	0.00	all:0.90	all
am	H	meaning	0.00	amber:0.75,ample:0.70	amber · ample
an	B	meaning	0.00	answer:0.75,meridian:0.58,veranda:0.55,median:0.51	answer · meridian
ant	T	meaning	0.00	giant:0.74	giant
apt	B	meaning	0.00	apt:1.00	apt
ar	H	meaning	0.00	arbor:0.75,argon:0.70,artists:0.64,architect:0.53	arbor · argon
arc	H	meaning	0.00	arctic:0.75	arctic
art	H	meaning	0.00	artful:0.75	artful
ash	B	meaning	0.00	ash:1.00	ash
au	H	meaning	0.00	audio:0.62,auto:0.57	audio · auto
ba	H	meaning	0.00	bazaar:0.70,balance:0.57	bazaar · balance
bal	T	meaning	0.00	global:0.69,football:0.69	global · football
balt	T	meaning	0.00	cobalt:0.77	cobalt
ban	T	meaning	0.00	urban:0.81	urban
bane	T	meaning	0.00	urbane:0.81	urbane
be	H	meaning	0.00	better:0.75	better
bea	H	meaning	0.00	beacon:0.60	beacon
ber	T	meaning	0.00	ember:0.69,amber:0.69,limber:0.64,remember:0.58,number:0.54	ember · amber
bex	T	meaning	0.00	ibex:0.84	ibex
big	B	meaning	0.00	big:0.90	big
blic	T	meaning	0.00	public:0.67	public
blish	T	meaning	0.00	publish:0.77,establish:0.69	publish · establish
bo	H	meaning	0.00	bonny:0.75	bonny
bol	T	meaning	0.00	symbol:0.69	symbol
bov	T	meaning	0.00	above:0.71	above
box	B	meaning	0.00	box:0.90	box
braid	B	meaning	0.00	braid:0.90	braid
brant	T	meaning	0.00	vibrant:0.80	vibrant
bree	H	meaning	0.00	breezy:0.80	breezy
breez	B	meaning	0.00	breeze:1.00	breeze
bric	T	meaning	0.00	fabric:0.67	fabric
brisk	B	meaning	0.00	brisk:1.00	brisk
by	T	meaning	0.00	ruby:0.69	ruby
ca	H	meaning	0.00	cafe:0.75,carry:0.65	cafe · carry
cairn	B	meaning	0.00	cairn:1.00	cairn
cal	B	meaning	0.00	call:1.00,medical:0.65,recall:0.64,vocal:0.64,optical:0.55	call · medical
can	H	meaning	0.00	canyon:0.75,candid:0.75	canyon · candid
cap	H	meaning	0.00	capstone:0.71	capstone
car	H	meaning	0.00	cardinal:0.69	cardinal
cate	T	meaning	0.00	locate:0.74	locate
ccess	T	meaning	0.00	access:0.74	access
cen	H	meaning	0.00	central:0.71,center:0.70	central · center
cept	T	meaning	0.00	concept:0.73	concept
cer	B	meaning	0.00	certify:0.67,grocery:0.55	certify · grocery
cess	T	meaning	0.00	access:0.74	access
chi	H	meaning	0.00	chipper:0.75	chipper
chy	T	meaning	0.00	punchy:0.64	punchy
ci	H	meaning	0.00	civic:0.70,city:0.65,citizen:0.54	civic · city
cise	T	meaning	0.00	precise:0.69,concise:0.59	precise · concise
cking	T	meaning	0.00	clicking:0.69,tracking:0.69	clicking · tracking
cky	T	meaning	0.00	lucky:0.69,plucky:0.64	lucky · plucky
cl	H	meaning	0.00	clever:0.70	clever
